ticker,edge,horizon,p10,p25,p50,p75,p90,hit_rate,hit_alpha,hit_self,hit_rate_dc,hit_alpha_dc,hit_self_dc,n_obs,n_episodes,sector,industry,name,beta
CME,0.06723112940222975,120d,-0.021434045838443348,0.01262291954378486,0.13640645852976163,0.18552348729764517,0.2466090346264256,0.8333333333333334,0.6,0.6,0.9,0.6,0.6,30,10,Financials,Financial Data & Stock Exchanges,CME Group Inc.,-0.1
RIVN,0.06662546491367738,120d,-0.11128950513997807,-0.015631800371840893,0.10205408429844309,0.23001830974512838,0.31788050847608434,0.7,0.6,0.6,0.7,0.6,0.6,30,10,Consumer Discretionary,,"Rivian Automotive, Inc.",1.55
NYT,0.06474255284421082,120d,-0.11298101728259854,0.011105328707408046,0.16110612093314136,0.24579294988982087,0.3104972875818549,0.7666666666666667,0.7,0.533,0.9,0.8,0.5,30,10,Communication Services,,The New York Times Company,0.48
AGI,0.06160253879278088,120d,0.11585072144866028,0.19700563603494214,0.3310641133272617,0.4134034184870925,0.5209734750630264,1.0,0.933,0.667,1.0,0.8,0.7,30,10,Materials,Gold,Alamos Gold Inc.,0.73
AWK,0.060744919528789576,120d,-0.06765723350698614,-0.022707750514409042,0.06190032573868154,0.16176959794794854,0.20341171295249627,0.6,0.6,0.6,0.5,0.4,0.5,30,10,Utilities,Utilities - Regulated Water,"American Water Works Company, Inc.",-0.08
GNRC,0.06031661775443564,120d,-0.17823286621402581,-0.0812945673637002,0.256958608326189,0.32535647897210507,0.45517175498902107,0.7333333333333333,0.633,0.567,0.7,0.6,0.5,30,10,Industrials,,Generac Holdings Inc.,1.46
CELH,0.05889150791718811,120d,-0.5564594176814412,-0.42788680827004155,0.009261872636155077,0.37686699495660797,1.014079106286622,0.5,0.5,0.533,0.5,0.5,0.6,30,10,Consumer Staples,Beverages - Non-Alcoholic,"Celsius Holdings, Inc.",1.01
HUM,0.05786042464452551,120d,-0.22799566862853946,-0.15451924405852202,-0.07411438340608062,0.03142815702879431,0.10100785330786535,0.3333333333333333,0.1,0.633,0.3,0.1,0.6,30,10,Healthcare,,Humana Inc.,0.36
AAP,0.05729015248599689,120d,-0.3672672830470245,-0.059018747355456036,0.06111925841154775,0.15713832770226788,0.21452120529421562,0.6,0.5,0.6,0.7,0.5,0.7,30,10,Consumer Discretionary,,,0.99
DE,0.05722402117527425,120d,-0.013465286993191553,0.04041145757660547,0.14212106971855565,0.21820852607058167,0.23885637989478795,0.8666666666666667,0.7,0.6,0.8,0.7,0.7,30,10,Industrials,Farm & Heavy Construction Machinery,Deere & Company,0.72
MKTX,0.0572023357250705,120d,-0.17621058879333937,-0.15059927016773564,-0.02970627663066039,0.0611977736709749,0.13038571708248353,0.43333333333333335,0.233,0.633,0.3,0.1,0.6,30,10,Financials,,MarketAxess Holdings Inc.,0.14
