ticker,persistence,avg_regime_alpha,resolved_signals,hit_rate
ADM,11,-0.020678,3.0,0.6666666666666666
BCRX,11,,,
BEN,11,-0.09205,1.0,0.0
BWIN,11,,,
HBM,11,-0.106956,2.0,0.0
SYM,11,-0.09561385714285715,7.0,0.14285714285714285
KMX,11,-0.173495,1.0,0.0
KEX,11,,,
PCOR,11,0.17604888888888887,9.0,0.7777777777777778
LIND,11,,,
LFST,11,,,
DXCM,11,-0.11346033333333334,3.0,0.0
XPRO,11,,,
MYRG,10,,,
QXO,10,-0.132498,4.0,0.0
CRS,10,-0.21684699999999998,4.0,0.0
OPCH,10,0.037517499999999995,4.0,1.0
OII,10,,,
PVH,10,-0.022165,1.0,0.0
ESTA,10,-0.155399,7.0,0.0
FTRE,10,-0.03101,1.0,0.0
MTZ,10,-0.155505,1.0,0.0
GNRC,10,-0.13336966666666666,3.0,0.0
URGN,10,-0.186076,1.0,0.0
ARRY,10,-0.311123,2.0,0.0
MRAM,10,,,
RPRX,10,-0.075164,1.0,0.0
TEAM,10,0.36002549999999994,6.0,1.0
BMY,10,-0.03199,1.0,0.0
UTI,10,,,
FLEX,10,,,
NXE,10,-0.008093666666666664,6.0,0.6666666666666666
CZR,10,-0.0943434,5.0,0.0
ERO,10,0.06035759999999999,5.0,0.4
OLN,10,-0.281602,1.0,0.0
FANG,10,-0.003439,1.0,0.0
SMTC,10,-0.0056075000000000005,4.0,0.5
WGMI,10,-0.113039,1.0,0.0
TTD,10,-0.13715839999999999,5.0,0.2
E,10,,,
POWI,10,,,
SLV,10,-0.03206666666666667,3.0,0.6666666666666666
AI,10,0.006300142857142857,7.0,0.42857142857142855
PENN,10,-0.149666,2.0,0.0
WVE,10,-0.27177924999999997,4.0,0.0
KNTK,10,,,
AEM,10,,,
ANDE,10,,,
SFD,10,,,
HAE,10,0.03259975,4.0,0.75
CME,10,,,
MCHPP,10,-0.09745150000000001,6.0,0.0
SXC,10,,,
STNG,10,-0.085956,1.0,0.0
FMC,10,-0.030261,1.0,0.0
HP,10,,,
TD,10,,,
TAN,10,,,
CPRT,10,,,
CELC,10,-0.061284500000000006,2.0,0.0
SIVR,10,-0.03134833333333333,3.0,0.6666666666666666
FOX,10,0.0499915,2.0,1.0
HSBC,10,,,
COPX,9,0.016529000000000002,2.0,0.5
CEVA,9,,,
CCI,9,-0.18503499999999998,3.0,0.0
TFX,9,-0.0906434,5.0,0.0
MTSI,9,,,
CCL,9,-0.15767214285714284,7.0,0.14285714285714285
