run_date,ticker,horizon,predicted_edge,sector,p10,p90
2026-06-02,ERO,60d,0.1200023325989969,Materials,-0.3067360138144441,0.4947021727849419
2026-06-02,AVAV,60d,0.1190065092769457,Defense,-0.2341857384264628,0.4816675796507178
2026-06-02,MOD,60d,0.1139596872421172,Consumer Discretionary,-0.3830994352173572,0.6780870687392162
2026-06-02,ICLR,60d,0.1128464927729232,Healthcare,-0.1349497153338749,0.2245685842147486
2026-06-02,HOOD,60d,0.1126446484268871,Financials,-0.0633396370522186,0.5632784980718064
2026-06-02,MHK,60d,0.10871394267389,Consumer Discretionary,-0.2468249741748935,0.2789992759020862
2026-06-02,OGN,60d,0.1071078007808832,Healthcare,-0.1413630070695412,0.3558979285758746
2026-06-02,AVTR,60d,0.1065224587865486,Healthcare,-0.2111114673825288,0.1325539008807407
2026-06-02,CEG,60d,0.1058558764286733,Utilities,-0.0992629474654776,0.5270119906297515
2026-06-02,CRNX,60d,0.1038690235232561,Biotech,-0.3768406842333873,0.4495134727263626
2026-06-02,TTD,60d,0.103647814535572,Communication Services,-0.457981307034539,0.1838109980333293
2026-06-02,XYL,60d,0.1034541994864111,Industrials,-0.1259739097693886,0.1588960532211046
2026-06-02,SRPT,60d,0.1009667891843748,Biotech,-0.1525215682995823,0.5191823653608195
2026-06-02,NTRA,60d,0.1009003396354195,Healthcare,-0.1287635545725524,0.5093155686336273
2026-06-02,BFAM,60d,0.1000630341716525,Consumer Discretionary,-0.1590654092843435,0.2454380299660736
2026-06-02,AR,60d,0.0991740071143794,Energy,-0.1899831752390498,0.4353422385726112
2026-06-02,COGT,60d,0.0974336433421008,Biotech,-0.2544156776759246,0.5445611768454963
2026-06-02,INSP,60d,0.0957431413557672,Healthcare,-0.4186943818862241,0.2230712182252456
2026-06-02,MLM,60d,0.093892044267419,Materials,-0.1801166469763735,0.236168323275391
2026-06-02,WFRD,60d,0.0937865018008188,Energy,-0.2522132402933117,0.2995432336738507
2026-06-02,SCCO,60d,0.0925931246481971,Materials,-0.1712512661495079,0.442702905195498
2026-06-02,AAON,60d,0.0921778830559871,Industrials,-0.4012390764546918,0.301883257848995
2026-06-02,NVDA,60d,0.0911106167514295,Technology,-0.104019500031556,0.8695191550900376
2026-06-02,MEDP,60d,0.0907808532513698,Healthcare,-0.0445983850521543,0.6181201434795187
2026-06-02,EXP,60d,0.090737828650244,Materials,-0.2671137843995107,0.3216835362644699
2026-06-02,VMC,60d,0.0886078555289955,Materials,-0.1433635059947808,0.218245246791506
2026-06-02,NVT,60d,0.0884066970047071,Industrials,-0.2316544161467202,0.3273083782864384
2026-06-02,VRT,60d,0.0879874602922815,Industrials,-0.261129450466865,0.6063589781681881
2026-06-02,LLY,60d,0.087455615007231,Healthcare,-0.0112737614171593,0.3380485625568272
2026-06-02,MMYT,60d,0.0874463079839861,Consumer Discretionary,-0.1700428572812897,0.463762153613096
2026-06-02,AEO,60d,0.0869901096625094,Consumer Discretionary,-0.3208774359955595,0.6210739082926153
2026-06-02,THC,60d,0.0844176673720052,Healthcare,-0.1848892705221742,0.3745157378962223
2026-06-02,KWEB,60d,0.0837660496029132,Unknown,-0.1508305959781314,0.238423049703314
2026-06-02,MU,60d,0.082461572094644,Technology,-0.1254084571994795,0.5227351730416931
2026-06-02,SFM,60d,0.0812746177882093,Consumer Staples,-0.3328633080240365,0.4226173004793825
2026-06-02,VLTO,60d,0.0809767667899359,Industrials,-0.0786489266277038,0.1620073264107718
2026-06-02,IRTC,60d,0.08065124056851,Healthcare,-0.2726291456940014,0.3183289289267819
2026-06-02,DOCS,60d,0.0806050152958371,Healthcare,-0.2516275987299342,0.2816828726803177
2026-06-02,KBH,60d,0.0801966216832564,Consumer Discretionary,-0.2237433901443937,0.2307306723871319
2026-06-02,DCI,60d,0.077977946739884,Industrials,-0.0688102406349139,0.1720184906711669
2026-06-02,AL,60d,0.0773320757409277,Industrials,-0.1017584130173217,0.1576356858290444
2026-06-02,WSM,60d,0.0756983954645422,Consumer Discretionary,-0.0637488336252183,0.4458667194654759
2026-06-02,NTAP,60d,0.0751568279439603,Technology,-0.1862424914793249,0.2017945645953144
2026-06-02,UHS,60d,0.0750641937333207,Healthcare,-0.1406472172846474,0.2321585854921226
2026-06-02,RGEN,60d,0.0744228727956888,Healthcare,-0.1957163788849407,0.2802618181410932
2026-06-02,HOG,60d,0.0742367488189669,Consumer Discretionary,-0.2361885337050565,0.1961869708649143
2026-06-02,LDOS,60d,0.0733484973797303,Technology,-0.1882597851659933,0.2350633852972383
2026-06-02,VERA,60d,0.0716255721081399,Biotech,-0.400634573278407,1.7529301403246405
2026-06-03,PRAX,120d,0.7615561181280645,Healthcare,-0.1286491856714852,4.95367813033142
2026-06-03,VERA,120d,0.6995577814634651,Biotech,-0.1799490115431381,1.6706092584174077
2026-06-03,INSM,120d,0.5076744103403417,Healthcare,0.0457317034037008,1.5390447520584345
2026-06-03,CGON,120d,0.4666580280852348,Biotech,-0.2552109817096057,0.6186666611330877
2026-06-03,FSLR,120d,0.4341679054171441,Energy Transition,-0.3023554284273795,0.7663150157444385
2026-06-03,MMYT,120d,0.4040088700547637,Consumer Discretionary,-0.119608405102361,0.7320546125204713
2026-06-03,KRYS,120d,0.3836065706219836,Biotech,0.0137058444113979,0.7769379843129759
2026-06-03,ANF,120d,0.3760211975466772,Consumer Discretionary,-0.1961024563489447,1.486452700413855
2026-06-03,APGE,120d,0.3718113062636468,Biotech,-0.1353715871147985,1.1299282333264231
2026-06-03,VKTX,120d,0.3497189849733619,Biotech,-0.1886378137498706,2.490911468474532
2026-06-03,MU,120d,0.3267679917848013,Technology,-0.2426244929669146,1.467892884661394
2026-06-03,SVIX,120d,0.3147127373645614,Unknown,-0.3743390575137897,0.5006876753375401
2026-06-03,BVN,120d,0.3141915543060039,Materials,-0.1793390762050903,0.9706595378956588
2026-06-03,MEDP,120d,0.3023652757474877,Healthcare,-0.1444383219885246,0.777870308089395
2026-06-03,FTAI,120d,0.2957214329306415,Industrials,0.2845214087532224,1.0100119189869952
2026-06-03,ETH,120d,0.2491641389093603,Unknown,-0.5462534672147339,0.1555462724537015
2026-06-03,ETHA,120d,0.2477906825344981,Unknown,-0.5499568004476145,0.1510903329610735
2026-06-03,FETH,120d,0.2469188106472647,Unknown,-0.5494218024547906,0.1513364898053193
2026-06-03,ONTO,120d,0.2454306934945099,Technology,-0.3251505108917922,0.6505796510739138
2026-06-03,CYTK,120d,0.2390791663678322,Biotech,-0.2905911759591258,1.1313296774694432
2026-06-03,CART,120d,0.2276264336607483,Consumer Discretionary,-0.0922240456019405,0.3966989783777435
2026-06-03,APP,120d,0.2254301209866356,Communication Services,0.3143080474084345,1.6230277035867455
2026-06-03,PI,120d,0.2238109838781645,Technology,-0.4157665435343053,0.9024945266156108
2026-06-03,COGT,120d,0.2224858882076741,Biotech,-0.5612115715249899,2.488684697717133
2026-06-03,LLY,120d,0.222377034119057,Healthcare,-0.1043914789837722,0.4779277560852515
2026-06-03,MSTR,120d,0.2162366904852352,Technology,-0.6283335215398296,2.0146512260920253
2026-06-03,ETHE,120d,0.2146277776145843,Unknown,-0.2860337421210099,0.894776682480078
2026-06-03,TTD,120d,0.2115701937544175,Communication Services,-0.5053058644880395,0.3865006110922434
2026-06-03,RVMD,120d,0.2065279466689892,Healthcare,0.0178602636547103,1.1358932697290354
